Project;Method;ReleaseID;LOC;CyclomaticComplexity;CognitiveComplexity;'Number of Smells';ParameterCount;NestingDepth;StatementCount;LocalVariableCount;ReturnTypeComplexity;MethodHistories;StmtAdded;StmtDeleted;Churn;DistinctAuthors;Bugginess
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java/readComplete;4.0.0;27;4;4;0;4;2;5;3;1;6;23;6;29;3;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java/writeComplete;4.0.0;12;3;3;0;5;2;2;0;1;3;5;2;7;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java/processResult;4.0.0;15;2;1;0;3;1;6;2;1;5;27;16;43;3;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java/processResult;4.0.0;16;3;3;0;4;2;2;0;1;5;52;3;55;4;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java/createLedger;4.0.0;28;2;1;0;4;1;6;1;1;6;67;1;68;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java/openLedger;4.0.0;28;2;1;0;3;1;6;1;1;6;42;0;42;3;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java/openLedgerNoRecovery;4.0.0;28;2;1;0;3;1;6;1;1;3;39;0;39;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java/deleteLedger;4.0.0;17;2;1;0;1;1;5;1;1;2;21;3;24;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java/openComplete;4.0.0;16;1;0;0;3;0;5;1;1;1;1;0;1;1;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java/getLedgerKey;4.0.0;7;1;0;0;0;0;1;0;2;1;2;0;2;1;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java/close;4.0.0;11;2;1;0;0;1;5;1;1;6;20;8;28;3;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java/asyncCloseInternal;4.0.0;30;3;2;0;3;1;1;0;1;7;67;49;116;3;Yes
