Project;Method;ReleaseID;LOC;CyclomaticComplexity;CognitiveComplexity;'Number of Smells';ParameterCount;NestingDepth;StatementCount;LocalVariableCount;ReturnTypeComplexity;MethodHistories;StmtAdded;StmtDeleted;Churn;DistinctAuthors;Bugginess
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/DataSourceFactory.java/decorateDataSource;0.9.0;31;7;8;3;3;3;5;10;1;7;23;25;48;4;Yes
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/DataSourceFactory.java/installDBDictionary;0.9.0;29;8;9;3;4;3;3;5;1;5;15;3;18;5;Yes
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/DataSourceFactory.java/closeDataSource;0.9.0;7;2;1;1;1;1;2;0;1;1;1;0;1;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/NameSet.java/isNameTaken;0.9.0;7;2;1;1;1;1;2;0;1;5;5;5;10;3;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/LocalConstraint.java/getColumns;0.9.0;7;3;2;2;0;1;2;0;2;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/LocalConstraint.java/setColumns;0.9.0;8;4;4;2;1;2;3;3;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/LocalConstraint.java/refColumns;0.9.0;6;2;1;1;0;1;2;2;1;1;1;0;1;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/LocalConstraint.java/derefColumns;0.9.0;6;2;1;1;0;1;2;2;1;1;1;0;1;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/LocalConstraint.java/columnsMatch;0.9.0;10;4;4;2;1;2;4;2;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/LocalConstraint.java/hasColumn;0.9.0;7;3;3;1;2;2;2;1;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/LocalConstraint.java/equalsLocalConstraint;0.9.0;10;3;2;1;1;1;3;0;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaSerializer.java/addAll;0.9.0;7;4;3;1;1;1;5;4;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaSerializer.java/addAll;0.9.0;5;3;2;1;1;1;3;2;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaSerializer.java/removeAll;0.9.0;9;4;3;1;1;1;7;5;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaSerializer.java/removeAll;0.9.0;7;3;2;1;1;1;5;3;1;0;0;0;0;0;No
